X,year,site,nest,exp,type,laid,hatch,manip,ring,mate_ring,chick1,chick2,chick3,chick4,chick5,chick6,comments,field_sex_focal,field_sex_mate,code,nest.id,year.cr,year.mr,year.code,first.res,last.res,first.cap,last.cap,first.cap.r,last.cap.r,laying_date,found_date,end_date,fate,latitude,longitude,no_chicks,clutch_size,laying_date.r,found_date.r,end_date.r,hatching_date.r,first.bf.adult,last.bf.adult,adult.not.seen.bf,times.adult.not.seen,total.brood.res,last.bf.adult.before.desertion,datenot.seen.after.desertion,first.bf,last.bf,chicks.alive.last,chicks.not.seen.bf,first.bf.adult.r,last.bf.adult.r,adult.not.seen.bf.r,last.bf.adult.before.desertion.r,datenot.seen.after.desertion.r,first.bf.r,last.bf.r,chicks.alive.last.r,chicks.not.seen.bf.r,chick1.capdate,chick1.bill,chick1.tarsus,chick1.weight,chick2.capdate,chick2.bill,chick2.tarsus,chick2.weight,chick3.capdate,chick3.bill,chick3.tarsus,chick3.weight,largest.chick.tarsus,largest.chick.capture,largest.chick.age,largest.chick.capdate,estimated.ld,layingdate,check.estld,first.d.seen,last.d.seen,mol_sex,mol_sex_focal,mol_sex_mate,first.res.bs,last.res.bs,population,captured_focalyear_focal,captured_focalyear_mate,comments_field,comments_stdfile,northing,easting,estimated.hd
15,2006,B,3,U,U,425,NA,NA,CA203,CA039,NA,NA,NA,NA,NA,NA,NA,M,F,RX.MX|RX.RX,2006-B-3,2006,2006,2006-RX.MX|RX.RX,NA,NA,07/05/2006,09/06/2006,07/05/2006,09/06/2006,425,503,513,ABAN,23.96386667,-106.9137833,NA,3,25/04/2006,03/05/2006,13/05/2006,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/04/2006,NA,07/05/2006,09/06/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
16,2006,B,4,U,U,508,602,NA,802122925,802122928,CA045,CA046,CA055,NA,NA,NA,NA,M,F,YX.MX|BX.BX,2006-B-4,2006,2006,2006-YX.MX|BX.BX,NA,NA,13/05/2006,13/05/2006,13/05/2006,13/05/2006,508,507,602,HATCH,23.96266667,-106.91175,3,3,08/05/2006,07/05/2006,02/06/2006,02/06/2006,602,707,NA,0,18,NA,NA,602,707,707,NA,02/06/2006,07/07/2006,NA,NA,NA,02/06/2006,07/07/2006,07/07/2006,NA,02/06/2006,NA,16.5,4.6,02/06/2006,NA,17,5.5,02/06/2006,NA,16.6,5.6,17,02/06/2006,-1.964401294,02/06/2006,09/05/2006,08/05/2006,1.964401294,13/05/2006,07/07/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
17,2006,B,5,U,U,511,605,NA,CA057,802109721,CA072,CA073,CA077,NA,NA,NA,NA,M,F,WX.MX|WX.WX,2006-B-5,2006,2006,2006-WX.MX|WX.WX,NA,NA,12/05/2006,03/06/2006,12/05/2006,03/06/2006,511,508,605,HATCH,23.96256667,-106.9128667,3,3,11/05/2006,08/05/2006,05/06/2006,05/06/2006,605,701,NA,0,13,NA,NA,605,701,701,NA,05/06/2006,01/07/2006,NA,NA,NA,05/06/2006,01/07/2006,01/07/2006,NA,05/06/2006,NA,17.5,6.4,05/06/2006,NA,18.2,6.8,05/06/2006,NA,18.3,6.3,18.3,05/06/2006,2.242718447,05/06/2006,08/05/2006,11/05/2006,-2.242718447,12/05/2006,01/07/2006,M,M,NA,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
18,2006,B,6,U,U,511,605,NA,RX.WX|YX.BX,RX.WX|YX.WX,CA070,CA071,NA,NA,NA,NA,NA,M,F,RX.WX|YX.BX,2006-B-6,2006,NA,2006-RX.WX|YX.BX,NA,NA,20/05/2006,20/05/2006,20/05/2006,20/05/2006,511,514,605,HATCH,23.96343333,-106.9142,2,3,11/05/2006,14/05/2006,05/06/2006,05/06/2006,605,621,NA,0,12,NA,NA,605,621,621,NA,05/06/2006,21/06/2006,NA,NA,NA,05/06/2006,21/06/2006,21/06/2006,NA,05/06/2006,NA,18.3,5.8,05/06/2006,NA,17.7,6.3,NA,NA,NA,NA,18.3,05/06/2006,2.242718447,05/06/2006,08/05/2006,11/05/2006,-2.242718447,20/05/2006,21/06/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
19,2006,B,7,U,U,514,608,NA,CA043,CA112,CA097,NA,NA,NA,NA,NA,NA,M,F,RX.MX|OX.GX,2006-B-7,2006,2006,2006-RX.MX|OX.GX,NA,NA,01/06/2006,01/06/2006,01/06/2006,01/06/2006,514,517,608,HATCH,23.96228333,-106.9118833,1,3,14/05/2006,17/05/2006,08/06/2006,08/06/2006,NA,NA,NA,NA,0,NA,NA,608,608,608,NA,NA,NA,NA,NA,NA,08/06/2006,08/06/2006,08/06/2006,NA,08/06/2006,NA,18.4,5.8,NA,NA,NA,NA,NA,NA,NA,NA,18.4,08/06/2006,2.566343042,08/06/2006,11/05/2006,14/05/2006,-2.566343042,01/06/2006,08/06/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
20,2006,B,8,U,U,517,611,NA,CA042,CA113,CA212,CA213,NA,NA,NA,NA,NA,M,F,RX.MX|OX.LX,2006-B-8,2006,2006,2006-RX.MX|OX.LX,NA,NA,01/06/2006,01/06/2006,01/06/2006,01/06/2006,517,527,611,HATCH,23.9645,-106.9132833,2,3,17/05/2006,27/05/2006,11/06/2006,11/06/2006,611,613,619,0,3,NA,NA,611,619,611,613,11/06/2006,13/06/2006,19/06/2006,NA,NA,11/06/2006,19/06/2006,11/06/2006,13/06/2006,11/06/2006,NA,18.3,6.1,11/06/2006,NA,18.6,6.6,NA,NA,NA,NA,18.6,11/06/2006,3.213592233,11/06/2006,13/05/2006,17/05/2006,-3.213592233,01/06/2006,19/06/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
21,2006,B,9,U,U,521,NA,NA,CA080,NA,NA,NA,NA,NA,NA,NA,NA,M,F,WX.MX|OX.GX,2006-B-9,2006,2006,2006-WX.MX|OX.GX,NA,NA,06/06/2006,06/06/2006,06/06/2006,06/06/2006,521,601,607,ABAN,23.96358333,-106.9134667,NA,3,21/05/2006,01/06/2006,07/06/2006,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21/05/2006,NA,06/06/2006,06/06/2006,M,M,NA,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
22,2006,B,101,U,U,501,NA,NA,802109714,NA,NA,NA,NA,NA,NA,NA,NA,M,F,BX.WX|SX.LM,2006-B-101,2006,2006,2006-BX.WX|SX.LM,NA,NA,07/05/2006,06/07/2006,07/05/2006,06/07/2006,501,504,509,PRED,23.96528333,-106.9136167,NA,3,01/05/2006,04/05/2006,09/05/2006,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01/05/2006,NA,07/05/2006,06/07/2006,M,M,NA,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
23,2006,B,207,U,U,524,618,NA,CA203,CA204,CA184,CA187,NA,NA,NA,NA,NA,M,F,RX.MX|RX.RX,2006-B-207,2006,2006,2006-RX.MX|RX.RX,NA,NA,07/05/2006,09/06/2006,07/05/2006,09/06/2006,524,606,618,HATCH,23.9632,-106.9143833,2+,3,24/05/2006,06/06/2006,18/06/2006,18/06/2006,619,702,NA,0,3,NA,NA,619,702,619,619,19/06/2006,02/07/2006,NA,NA,NA,19/06/2006,02/07/2006,19/06/2006,19/06/2006,18/06/2006,NA,17.9,6.7,18/06/2006,NA,17.8,6.7,NA,NA,NA,NA,17.9,18/06/2006,0.948220065,18/06/2006,23/05/2006,24/05/2006,-0.948220065,07/05/2006,02/07/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
24,2006,B,208,U,U,513,607,NA,CA091,CA126,CA089,CA090,NA,NA,NA,NA,NA,M,F,WX.MX|YX.BX,2006-B-208,2006,2006,2006-WX.MX|YX.BX,NA,NA,07/06/2006,07/06/2006,07/06/2006,07/06/2006,513,607,607,HATCH,23.96318333,-106.91395,3,3,13/05/2006,07/06/2006,07/06/2006,07/06/2006,607,706,NA,0,7,NA,NA,607,706,706,NA,07/06/2006,06/07/2006,NA,NA,NA,07/06/2006,06/07/2006,06/07/2006,NA,07/06/2006,NA,17.3,6.8,07/06/2006,NA,17.3,6.3,NA,NA,NA,NA,17.3,07/06/2006,-0.993527508,07/06/2006,13/05/2006,13/05/2006,0.993527508,07/06/2006,06/07/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
25,2006,B,209,U,U,513,607,NA,CA123,CA125,CA124,CA130,CA131,NA,NA,NA,NA,M,F,YX.MX|LX.RX,2006-B-209,2006,2006,2006-YX.MX|LX.RX,NA,NA,07/06/2006,07/06/2006,07/06/2006,07/06/2006,513,607,607,HATCH,23.96233333,-106.9126167,3,3,13/05/2006,07/06/2006,07/06/2006,07/06/2006,607,705,NA,0,13,NA,NA,607,705,705,NA,07/06/2006,05/07/2006,NA,NA,NA,07/06/2006,05/07/2006,05/07/2006,NA,07/06/2006,NA,17.5,6.5,08/06/2006,NA,17.1,6.5,08/06/2006,NA,17,6,17.5,07/06/2006,-0.346278317,07/06/2006,13/05/2006,13/05/2006,0.346278317,07/06/2006,05/07/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
27,2006,C,-1,U,U,NA,NA,NA,CA142,NA,802122927,NA,NA,NA,NA,NA,NA,M,F,RX.MX|RX.LX,2006-C--1,2006,2006,2006-RX.MX|RX.LX,NA,NA,15/05/2006,13/06/2006,15/05/2006,13/06/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,523,NA,0,2,NA,NA,515,523,515,523,15/05/2006,23/05/2006,NA,NA,NA,15/05/2006,23/05/2006,15/05/2006,23/05/2006,15/05/2006,NA,17.6,5.8,NA,NA,NA,NA,NA,NA,NA,NA,17.6,15/05/2006,-0.022653722,15/05/2006,20/04/2006,20/04/2006,NA,15/05/2006,13/06/2006,M,M,NA,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
28,2006,C,1,U,U,424,519,NA,CA220,CA177,802122931,802122934,802122935,NA,NA,NA,NA,M,F,RX.MX|RX.BX,2006-C-1,2006,2006,2006-RX.MX|RX.BX,NA,NA,06/05/2006,12/06/2006,06/05/2006,12/06/2006,424,503,519,HATCH,23.95996667,-106.9172167,3,3,24/04/2006,03/05/2006,19/05/2006,19/05/2006,520,523,NA,1,4,NA,NA,520,523,520,521,20/05/2006,23/05/2006,NA,NA,NA,20/05/2006,23/05/2006,20/05/2006,21/05/2006,19/05/2006,NA,18.1,5.9,20/05/2006,NA,17.9,6.3,20/05/2006,NA,16.7,5.2,18.1,19/05/2006,1.595469256,19/05/2006,22/04/2006,24/04/2006,-1.595469256,06/05/2006,12/06/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
29,2006,C,3,U,U,NA,NA,NA,CA156,CA202,NA,NA,NA,NA,NA,NA,NA,M,F,RX.MX|WX.BX,2006-C-3,2006,2006,2006-RX.MX|WX.BX,NA,NA,09/05/2006,14/06/2006,09/05/2006,14/06/2006,429,507,520,PRED,23.9604,-106.9153,NA,3,29/04/2006,07/05/2006,20/05/2006,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29/04/2006,NA,09/05/2006,14/06/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
30,2006,C,5,U,U,429,603,NA,CA007,802109742,CA056,NA,NA,NA,NA,NA,NA,M,F,RX.MX|BX.OX,2006-C-5,2006,2006,2006-RX.MX|BX.OX,NA,NA,26/05/2006,26/05/2006,26/05/2006,26/05/2006,509,512,603,HATCH,23.95976667,-106.919,1,3,09/05/2006,12/05/2006,03/06/2006,03/06/2006,607,628,NA,0,12,NA,NA,603,628,628,NA,07/06/2006,28/06/2006,NA,NA,NA,03/06/2006,28/06/2006,28/06/2006,NA,03/06/2006,NA,17,6.1,NA,NA,NA,NA,NA,NA,NA,NA,17,03/06/2006,-1.964401294,03/06/2006,10/05/2006,09/05/2006,1.964401294,26/05/2006,28/06/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
31,2006,C,6,U,U,507,NA,NA,802109793,CA011,NA,NA,NA,NA,NA,NA,NA,M,F,WX.BX|sX.RM,2006-C-6,2006,2006,2006-WX.BX|sX.RM,NA,NA,30/05/2006,30/05/2006,30/05/2006,30/05/2006,507,512,610,UNHATCH,23.96018333,-106.91735,0,3,07/05/2006,12/05/2006,10/06/2006,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,07/05/2006,NA,30/05/2006,30/05/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
32,2006,C,7,U,U,508,602,NA,CA2221,CA002,CA053,NA,NA,NA,NA,NA,NA,M,F,PX.MX|PX.PX,2006-C-7,2006,2006,2006-PX.MX|PX.PX,NA,NA,22/05/2006,24/05/2006,22/05/2006,24/05/2006,508,512,602,HATCH,23.9602,-106.9178667,1,3,08/05/2006,12/05/2006,02/06/2006,02/06/2006,605,628,NA,0,11,NA,NA,602,628,628,NA,05/06/2006,28/06/2006,NA,NA,NA,02/06/2006,28/06/2006,28/06/2006,NA,02/06/2006,NA,17.1,6,NA,NA,NA,NA,NA,NA,NA,NA,17.1,02/06/2006,-1.640776699,02/06/2006,09/05/2006,08/05/2006,1.640776699,22/05/2006,28/06/2006,M,M,NA,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
33,2006,C,8,U,U,507,608,NA,CA029,CA015,CA094,NA,NA,NA,NA,NA,NA,M,F,RX.MX|OX.OX,2006-C-8,2006,2006,2006-RX.MX|OX.OX,14/06/2006,14/06/2006,30/05/2006,23/06/2006,30/05/2006,23/06/2006,507,513,608,HATCH,23.95988333,-106.9169,1,3,07/05/2006,13/05/2006,08/06/2006,08/06/2006,608,612,NA,0,5,NA,NA,608,612,610,612,08/06/2006,12/06/2006,NA,NA,NA,08/06/2006,12/06/2006,10/06/2006,12/06/2006,08/06/2006,NA,18,6.3,NA,NA,NA,NA,NA,NA,NA,NA,18,08/06/2006,1.27184466,08/06/2006,12/05/2006,07/05/2006,5.72815534,30/05/2006,23/06/2006,M,M,F,14/06/2006,14/06/2006,Ceuta,NA,NA,NA,NA,NA,NA,NA
34,2006,C,9,U,U,510,NA,NA,CA030,CA012,NA,NA,NA,NA,NA,NA,NA,M,F,RX.MX|GX.OX,2006-C-9,2006,2006,2006-RX.MX|GX.OX,NA,NA,30/05/2006,04/07/2006,30/05/2006,04/07/2006,510,513,613,UNHATCH,23.95881667,-106.9167667,0,3,10/05/2006,13/05/2006,13/06/2006,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/05/2006,NA,30/05/2006,04/07/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
35,2006,C,10,U,U,518,612,NA,CA013,CA034,CA218,NA,NA,NA,NA,NA,NA,M,F,RX.MX|LX.LX,2006-C-10,2006,2006,2006-RX.MX|LX.LX,NA,NA,27/05/2006,27/05/2006,27/05/2006,27/05/2006,518,513,612,HATCH,23.95923333,-106.9158167,1,3,18/05/2006,13/05/2006,12/06/2006,12/06/2006,614,629,NA,0,9,NA,NA,612,629,629,NA,14/06/2006,29/06/2006,NA,NA,NA,12/06/2006,29/06/2006,29/06/2006,NA,12/06/2006,NA,18.6,6,NA,NA,NA,NA,NA,NA,NA,NA,18.6,12/06/2006,3.213592233,12/06/2006,14/05/2006,18/05/2006,-3.213592233,27/05/2006,29/06/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
36,2006,C,11,U,U,513,NA,NA,802109716,CA003,NA,NA,NA,NA,NA,NA,NA,M,F,NA,2006-C-11,NA,2006,2006-NA,NA,NA,24/05/2006,24/05/2006,24/05/2006,24/05/2006,513,514,527,PRED,23.96131667,-106.9137667,NA,2,13/05/2006,14/05/2006,27/05/2006,NA,NA,NA,NA,NA,0,NA,NA,Inf,#NAME?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13/05/2006,NA,24/05/2006,24/05/2006,NA,NA,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
37,2006,C,12,U,U,514,608,NA,CA054,CA010,CA095,NA,NA,NA,NA,NA,NA,M,F,WX.MX|LX.WX,2006-C-12,2006,2006,2006-WX.MX|LX.WX,NA,NA,02/06/2006,02/06/2006,02/06/2006,02/06/2006,514,516,608,HATCH,23.96116667,-106.9188833,1,3,14/05/2006,16/05/2006,08/06/2006,08/06/2006,608,612,NA,0,5,NA,NA,608,612,612,NA,08/06/2006,12/06/2006,NA,NA,NA,08/06/2006,12/06/2006,12/06/2006,NA,08/06/2006,NA,17.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,17.8,08/06/2006,0.624595469,08/06/2006,13/05/2006,14/05/2006,-0.624595469,02/06/2006,12/06/2006,M,M,F,NA,NA,Ceuta,NA,NA,NA,NA,NA,NA,NA
